spec_id,family,model,window,sample_rule,y,term,b,se,t,p,ci95_low,ci95_high,sign,p_lt_0_05,pre_estimator_N,pre_estimator_projects,estimator_N,estimator_projects,rsquared_within,rsquared_overall,rsquared_between
R6_4_B_36M,R6_4_36M_WINDOW,B,2023-01..2025-12,elig_B==1 and project has >=2 eligible months in frozen 36m panel,asinh_backlog,ln_resolution,0.012345382825009061,0.005248227443291836,2.3522956957188748,0.018667475128858912,0.002058429883240582,0.02263233576677754,positive,True,21045,800,21045,800,-0.04215598008235655,0.09990276551525434,0.09388798051737979
R6_4_B_36M,R6_4_36M_WINDOW,B,2023-01..2025-12,elig_B==1 and project has >=2 eligible months in frozen 36m panel,asinh_backlog,ln_issues_new,0.1353835395244581,0.057229842038912494,2.365610924321725,0.018009735830134543,0.023208391194782435,0.2475586878541338,positive,True,21045,800,21045,800,-0.04215598008235655,0.09990276551525434,0.09388798051737979
R6_4_B_36M,R6_4_36M_WINDOW,B,2023-01..2025-12,elig_B==1 and project has >=2 eligible months in frozen 36m panel,asinh_backlog,ln_contributors,-0.03611155133856951,0.02339010833605086,-1.543881320246442,0.1226327456670171,-0.08195806739674222,0.009734964719603188,negative,False,21045,800,21045,800,-0.04215598008235655,0.09990276551525434,0.09388798051737979
R6_4_C_36M,R6_4_36M_WINDOW,C,2023-01..2025-12,elig_C==1 and project has >=2 eligible months in frozen 36m panel,ln_resolution,ln_issues_new,-0.27428837220112956,0.03533641941265223,-7.7622004934354045,8.659739592076221e-15,-0.34355063007367087,-0.20502611432858825,negative,True,21045,800,21045,800,-0.007154301444186606,-0.839526041649673,-0.90404087655869
R6_4_C_36M,R6_4_36M_WINDOW,C,2023-01..2025-12,elig_C==1 and project has >=2 eligible months in frozen 36m panel,ln_resolution,ln_contributors,-0.2600872305322678,0.031708073479457546,-8.202555437521879,2.220446049250313e-16,-0.32223763508597125,-0.19793682597856432,negative,True,21045,800,21045,800,-0.007154301444186606,-0.839526041649673,-0.90404087655869
R6_4_D_36M,R6_4_36M_WINDOW,D,2023-01..2025-12,elig_D==1 and project has >=2 eligible months in frozen 36m panel,ln_open_age,ln_issues_new,-0.10373729164463132,0.009743675206948441,-10.64662865308296,0.0,-0.12283534061231781,-0.08463924267694482,negative,True,29893,834,29893,834,0.1391577286790645,-0.06388637360106375,-0.06438840916281197
R6_4_D_36M,R6_4_36M_WINDOW,D,2023-01..2025-12,elig_D==1 and project has >=2 eligible months in frozen 36m panel,ln_open_age,ln_contributors,-0.01996893098921715,0.008233989658140607,-2.4251829086856684,0.015306735437961017,-0.03610792724583012,-0.003829934732604179,negative,True,29893,834,29893,834,0.1391577286790645,-0.06388637360106375,-0.06438840916281197
R6_MD1_BASE,R6_MD1,MD1,2024-01..2025-12,Verified 24m exposure; outcome=1 iff ln_resolution defined; complete predictors; project >=2 diagnostic months,resolution_observed,ln_issues_new,0.27657030758376705,0.009937761505887129,27.830241993624703,0.0,0.25709148400004245,0.29604913116749165,positive,True,21072,878,21072,878,0.27488586023765604,0.7638575902406274,0.8588409265009092
R6_MD1_BASE,R6_MD1,MD1,2024-01..2025-12,Verified 24m exposure; outcome=1 iff ln_resolution defined; complete predictors; project >=2 diagnostic months,resolution_observed,ln_contributors,0.001077656251440763,0.006462829902820169,0.16674680714875517,0.8675709458675942,-0.011590017797093989,0.013745330299975517,positive,False,21072,878,21072,878,0.27488586023765604,0.7638575902406274,0.8588409265009092
R6_MD1_AUX_NET_CODE,R6_MD1,MD1,2024-01..2025-12,Verified 24m exposure; outcome=1 iff ln_resolution defined; complete predictors; project >=2 diagnostic months,resolution_observed,ln_issues_new,0.2762901081675974,0.009936389784235767,27.805884648963335,0.0,0.2568139732123015,0.29576624312289335,positive,True,21072,878,21072,878,0.2751786924493943,0.7649291186212258,0.8600637175323176
R6_MD1_AUX_NET_CODE,R6_MD1,MD1,2024-01..2025-12,Verified 24m exposure; outcome=1 iff ln_resolution defined; complete predictors; project >=2 diagnostic months,resolution_observed,ln_contributors,-0.0010591116280026954,0.006419600054424782,-0.1649809363548576,0.8689606405033368,-0.013642051683088158,0.011523828427082768,negative,False,21072,878,21072,878,0.2751786924493943,0.7649291186212258,0.8600637175323176
R6_MD1_AUX_NET_CODE,R6_MD1,MD1,2024-01..2025-12,Verified 24m exposure; outcome=1 iff ln_resolution defined; complete predictors; project >=2 diagnostic months,resolution_observed,asinh_net_code_lines,0.001174455525238226,0.0003814473336430027,3.0789454313957827,0.0020801372650982586,0.0004267876187159466,0.0019221234317605054,positive,True,21072,878,21072,878,0.2751786924493943,0.7649291186212258,0.8600637175323176
